City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arraial Do Cabo,BR,87.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
6,Samarai,PG,81.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
10,Kavieng,PG,81.41,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
11,Rikitea,PF,78.78,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Kuching,MY,75.42,moderate rain,1.55,110.3333,The Ranee Boutique Suites
25,Faanui,PF,81.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Formosa,AR,85.98,few clouds,-26.1775,-58.1781,Hotel Portal del Sol
31,Bredasdorp,ZA,79.56,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
33,Atuona,PF,78.67,clear sky,-9.8,-139.0333,Villa Enata
36,Santa Maria,BR,84.42,clear sky,-29.6842,-53.8069,Hotel Morotin
37,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
38,Fenoarivo Atsinanana,MG,80.65,light rain,-17.3667,49.4167,L'Oasis Lodge
40,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Port Elizabeth,ZA,80.1,few clouds,-33.918,25.5701,39 On Nile Guest House
45,Port Alfred,ZA,76.17,clear sky,-33.5906,26.891,The Halyards Hotel
49,Cururupu,BR,85.98,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
50,Pilar,BR,87.73,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
52,Butaritari,KI,81.19,light rain,3.0707,172.7902,Isles Sunset Lodge
53,Kupang,ID,79.16,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
59,Harper,LR,82.9,broken clouds,4.375,-7.7169,Screensaver
61,Hithadhoo,MV,82.83,scattered clouds,-0.6,73.0833,Scoop Guest House
62,Bambanglipuro,ID,76.35,overcast clouds,-7.95,110.2833,Puri Brata
64,Castro,BR,77.34,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
70,Alofi,NU,79.79,light rain,-19.0595,-169.9187,Taloa Heights
72,Sechura,PE,81.46,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
74,Bonoua,CI,82.02,broken clouds,5.2741,-3.595,Hotel Bon Samaritian
76,Chiredzi,ZW,78.98,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
77,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
79,Namibe,AO,76.01,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
82,Touros,BR,90.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
85,Buala,SB,80.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
87,Sigli,ID,77.38,overcast clouds,5.3848,95.9609,Losmen Dua Mali
91,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Balsas,BR,88.3,overcast clouds,-7.5325,-46.0356,Novo Hotel
107,Labuhan,ID,78.4,overcast clouds,-6.8844,112.2051,DoubleFAG
114,Sabya,SA,77.02,few clouds,17.1495,42.6254,Aseel Hotel Apartment
122,Pimentel,PE,77.29,broken clouds,-6.8367,-79.9342,Casona Del Muelle
123,Comodoro Rivadavia,AR,78.66,clear sky,-45.8667,-67.5,Austral Hotel
124,Jacareacanga,BR,82.44,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
126,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
134,Cape Town,ZA,78.1,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
135,Altamira,BR,79.7,overcast clouds,-3.2033,-52.2064,Requinte Hotel
137,Kruisfontein,ZA,77.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
138,Kavaratti,IN,78.4,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
143,Tual,ID,82.85,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
146,Sola,VU,81.3,overcast clouds,-13.8833,167.55,Leumerus Bungalows
148,Vao,NC,79.72,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
149,Isangel,VU,79.2,heavy intensity rain,-19.55,169.2667,Tanna Lodge
150,Singapore,SG,78.75,very heavy rain,1.2897,103.8501,The Fullerton Hotel Singapore
153,Kieta,PG,79.81,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
155,Itarema,BR,86.77,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
159,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
163,Bubaque,GW,78.3,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
164,Karratha,AU,84.25,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
166,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
174,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
175,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
181,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
182,East London,ZA,75.67,clear sky,-33.0153,27.9116,Tu Casa
183,Padang,ID,77.92,moderate rain,-0.9492,100.3543,Mercure Padang
187,Douentza,ML,87.08,clear sky,14.9951,-2.9517,Ogomono Doumbo
188,Saint-Philippe,RE,80.19,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
190,Cayenne,GF,82.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
194,Cidreira,BR,81.48,few clouds,-30.1811,-50.2056,Hotel Castelo
196,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
198,West Bay,KY,83.07,few clouds,19.3667,-81.4167,Calypso Cove
200,Dondaicha,IN,75.49,clear sky,21.3333,74.5667,Mahavir Farm House
204,Sao Jose Da Coroa Grande,BR,85.84,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
211,Jacmel,HT,85.84,clear sky,18.2342,-72.5347,Historic Hotel Florita
228,Vanimo,PG,77.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
230,Sal Rei,CV,75.4,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
233,Piracanjuba,BR,81.9,overcast clouds,-17.3028,-49.0167,Casas Luci
234,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
241,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
244,Daru,PG,79.21,overcast clouds,-9.0763,143.2092,Daru Lodge
246,San Juan,AR,78.69,clear sky,-31.5375,-68.5364,Hotel Provincial
250,Kishi,NG,93.43,clear sky,9.0833,3.85,New NCCF KISI
257,Ritchie,ZA,82.06,few clouds,-29.038,24.6028,Riverside Country Club Modderrivier
259,Sabang,ID,78.84,overcast clouds,5.8933,95.3214,Hotel Citra
262,Takoradi,GH,82.76,broken clouds,4.8845,-1.7554,Raybow International Hotel
267,San Policarpo,PH,79.65,few clouds,12.1791,125.5072,Agapita M. Nicart
270,Belem,BR,80.64,broken clouds,-1.4558,-48.5044,Mercure Belém Boulevard
271,Angoche,MZ,78.94,light rain,-16.2325,39.9086,Guest House HESADA
273,Mahibadhoo,MV,82.17,few clouds,3.7833,72.9667,Omadhoo Inn
274,Caravelas,BR,86.36,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
280,Puerto Leguizamo,CO,80.37,overcast clouds,-0.1934,-74.7819,la casona de juancho
283,Sorong,ID,80.76,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
287,Alta Floresta,BR,85.82,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
289,Cardenas,CU,83.16,clear sky,23.0375,-81.2047,Casa JF 1906
290,Kati,ML,92.61,clear sky,12.7441,-8.0726,Lingot d’or
291,Maroua,CM,82.6,clear sky,10.591,14.3159,Maroua Palace
293,Wajir,KE,89.46,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
294,Sao Felix Do Xingu,BR,87.17,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
295,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
303,Joao Camara,BR,88.84,clear sky,-5.5375,-35.8197,Pousada Miguel Teixeira
311,Koubia,GN,92.35,few clouds,11.5833,-11.9,Hôtel Mbalou Koubia
315,Maceio,BR,89.04,few clouds,-9.6658,-35.7353,Poutur Pousada
317,Esmeraldas,BR,76.24,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
323,Poso,ID,77.77,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
324,Kilindoni,TZ,81.46,overcast clouds,-7.9139,39.6668,Bustani B&B
329,Meulaboh,ID,77.04,overcast clouds,4.1363,96.1285,Kost Pria
330,Gouyave,GD,84.97,broken clouds,12.1646,-61.7296,Rumboat Retreat
331,Sao Gabriel Da Cachoeira,BR,84.0,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
336,Sao Miguel Do Araguaia,BR,78.6,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
337,Koumac,NC,78.08,overcast clouds,-20.5667,164.2833,Le Monitel
341,Ugoofaaru,MV,81.55,overcast clouds,5.6667,73.0,Ungoofaaru Inn
345,Arlit,NE,77.61,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
349,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
352,Conde,BR,87.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
353,Cartagena Del Chaira,CO,82.76,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
