City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Albany,42.6001,-73.9662,25.66,46,16,1.01,US,2022-02-06 17:06:01,few clouds
1,Bluff,-46.6,168.3333,39.79,81,1,5.12,NZ,2022-02-06 17:07:16,clear sky
2,Arraial Do Cabo,-22.9661,-42.0278,87.66,58,0,18.41,BR,2022-02-06 17:07:16,clear sky
3,Hermanus,-34.4187,19.2345,73.9,79,7,9.53,ZA,2022-02-06 17:07:17,clear sky
4,Ruteng,-8.6136,120.4721,63.07,91,45,1.72,ID,2022-02-06 17:07:17,scattered clouds
5,Sangar,63.9242,127.4739,-34.76,97,93,4.36,RU,2022-02-06 17:07:18,overcast clouds
6,Samarai,-10.6167,150.6667,81.3,80,100,12.75,PG,2022-02-06 17:07:18,overcast clouds
7,Pisco,-13.7,-76.2167,71.02,83,40,9.22,PE,2022-02-06 17:07:18,mist
8,Te Anau,-45.4167,167.7167,39.52,94,3,1.57,NZ,2022-02-06 17:07:19,clear sky
9,Yeppoon,-23.1333,150.7333,69.58,76,15,15.59,AU,2022-02-06 17:07:19,few clouds
10,Kavieng,-2.5744,150.7967,81.41,78,100,4.12,PG,2022-02-06 17:07:19,overcast clouds
11,Rikitea,-23.1203,-134.9692,78.78,71,91,16.08,PF,2022-02-06 17:07:19,overcast clouds
12,Dingle,10.9995,122.6711,74.84,88,49,8.12,PH,2022-02-06 17:07:20,scattered clouds
13,Wuhu,31.3366,118.3755,34.36,98,100,12.48,CN,2022-02-06 17:07:20,light snow
14,Victoria,22.2855,114.1577,62.58,85,100,5.99,HK,2022-02-06 17:03:09,overcast clouds
15,Tasiilaq,65.6145,-37.6368,23.16,60,100,26.24,GL,2022-02-06 17:07:21,overcast clouds
16,Kuching,1.55,110.3333,75.42,100,40,3.44,MY,2022-02-06 17:07:22,moderate rain
17,Upernavik,72.7868,-56.1549,-9.54,93,100,5.44,GL,2022-02-06 17:07:22,overcast clouds
18,Jorhat,26.75,94.2167,56.39,71,1,1.68,IN,2022-02-06 17:07:22,clear sky
19,Ushuaia,-54.8,-68.3,55.06,58,75,5.75,AR,2022-02-06 17:05:47,broken clouds
20,Tilichiki,60.4667,166.1,-13.65,86,62,9.66,RU,2022-02-06 17:07:23,broken clouds
21,Vestmannaeyjar,63.4427,-20.2734,31.19,69,0,11.5,IS,2022-02-06 17:07:14,clear sky
22,Tuatapere,-46.1333,167.6833,39.81,92,3,3.83,NZ,2022-02-06 17:07:23,clear sky
23,Vostok,46.4856,135.8833,-11.65,99,81,4.43,RU,2022-02-06 17:06:49,broken clouds
24,Egvekinot,66.3167,-179.1667,-13.97,85,5,7.0,RU,2022-02-06 17:07:24,clear sky
25,Faanui,-16.4833,-151.75,81.63,75,96,20.92,PF,2022-02-06 17:07:24,light rain
26,Dikson,73.5069,80.5464,-21.78,99,68,8.68,RU,2022-02-06 17:07:24,broken clouds
27,Oranjemund,-28.55,16.4333,69.75,64,47,13.73,NA,2022-02-06 17:07:25,scattered clouds
28,Formosa,-26.1775,-58.1781,85.98,37,20,18.41,AR,2022-02-06 17:07:25,few clouds
29,Saint George,37.1041,-113.5841,48.25,32,0,1.99,US,2022-02-06 17:03:08,clear sky
30,Pevek,69.7008,170.3133,-24.43,99,29,1.34,RU,2022-02-06 17:06:54,scattered clouds
31,Bredasdorp,-34.5322,20.0403,79.56,37,25,9.86,ZA,2022-02-06 17:05:34,scattered clouds
32,Kapaa,22.0752,-159.319,71.92,84,75,6.91,US,2022-02-06 17:07:26,light rain
33,Atuona,-9.8,-139.0333,78.67,74,10,20.47,PF,2022-02-06 17:07:26,clear sky
34,Gornoye Loo,43.7129,39.6049,37.18,89,100,1.99,RU,2022-02-06 17:07:27,overcast clouds
35,Luderitz,-26.6481,15.1594,69.33,76,22,9.37,NA,2022-02-06 17:07:27,few clouds
