City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2022-02-05 17:46:42,64.3833,-173.3,-5.82,85,3,11.63
1,Ushuaia,AR,2022-02-05 17:45:46,-54.8,-68.3,64.02,39,40,12.66
2,Thompson,CA,2022-02-05 17:42:37,55.7435,-97.8558,-25.44,68,75,0.0
3,Saldanha,ZA,2022-02-05 17:46:43,-33.0117,17.9442,87.85,71,8,8.03
4,Hofn,IS,2022-02-05 17:46:43,64.2539,-15.2082,28.98,58,100,10.07
5,Busselton,AU,2022-02-05 17:46:44,-33.65,115.3333,67.05,72,0,4.21
6,Quesnel,CA,2022-02-05 17:45:21,52.9999,-122.5029,25.3,100,20,2.3
7,Tursunzoda,TJ,2022-02-05 17:46:44,38.5144,68.2333,50.88,65,100,2.21
8,Berlevag,NO,2022-02-05 17:46:45,70.8578,29.0864,23.54,84,99,25.01
9,Gazojak,TM,2022-02-05 17:46:45,41.1875,61.4036,45.93,63,86,16.28
10,Mataura,NZ,2022-02-05 17:46:45,-46.1927,168.8643,50.49,90,27,1.63
11,Hilo,US,2022-02-05 17:46:46,19.7297,-155.09,72.63,86,100,4.61
12,Mahebourg,MU,2022-02-05 17:46:46,-20.4081,57.7,80.26,89,75,14.97
13,Bambous Virieux,MU,2022-02-05 17:46:47,-20.3428,57.7575,80.22,89,75,14.97
14,Bangui,CF,2022-02-05 17:46:47,4.3612,18.555,89.78,51,99,3.44
15,Llano Largo,PA,2022-02-05 17:46:48,7.9,-80.4333,88.45,45,64,14.63
16,Humaita,BR,2022-02-05 17:46:48,-7.5061,-63.0208,87.87,56,100,5.1
17,Mangan,IN,2022-02-05 17:46:49,27.5167,88.5333,39.9,79,46,9.17
18,Atar,MR,2022-02-05 17:46:49,20.5169,-13.0499,88.02,6,0,3.42
19,Labuhan,ID,2022-02-05 17:46:49,-6.8844,112.2051,78.3,86,100,8.7
20,Saint George,US,2022-02-05 17:46:50,37.1041,-113.5841,51.35,34,0,1.99
21,Safford,US,2022-02-05 17:46:50,32.834,-109.7076,45.52,27,0,11.65
22,Qaanaaq,GL,2022-02-05 17:44:27,77.484,-69.3632,1.4,76,91,4.0
23,Oistins,BB,2022-02-05 17:46:00,13.0667,-59.5333,82.49,54,20,16.11
24,Jamestown,US,2022-02-05 17:42:55,42.097,-79.2353,19.02,48,75,5.99
25,San Patricio,US,2022-02-05 17:46:51,28.017,-97.5169,47.16,34,1,5.3
26,Rio Grande,BR,2022-02-05 17:46:51,-32.035,-52.0986,77.76,75,99,12.39
27,Hobart,AU,2022-02-05 17:42:38,-42.8794,147.3294,59.02,77,100,4.61
28,Faanui,PF,2022-02-05 17:44:39,-16.4833,-151.75,80.91,72,11,18.21
29,Alibag,IN,2022-02-05 17:46:52,18.6411,72.8792,73.47,64,16,5.66
30,Sur,OM,2022-02-05 17:46:52,22.5667,59.5289,73.22,51,0,5.41
31,Nioro,GM,2022-02-05 17:46:52,13.35,-15.75,99.68,6,0,6.62
32,High Prairie,CA,2022-02-05 17:46:53,55.4334,-116.4858,26.04,85,100,8.16
33,Zhigansk,RU,2022-02-05 17:46:53,66.7697,123.3711,-30.75,100,100,5.75
34,Portland,US,2022-02-05 17:43:32,45.5234,-122.6762,47.08,93,75,1.99
35,Manjeri,IN,2022-02-05 17:46:54,11.1167,76.1167,75.88,78,20,2.3
36,Batticaloa,LK,2022-02-05 17:46:54,7.7102,81.6924,77.0,74,10,8.48
37,Pemba,MZ,2022-02-05 17:46:55,-12.974,40.5178,83.1,83,20,5.01
38,Ponta Do Sol,PT,2022-02-05 17:46:55,32.6667,-17.1,73.13,39,2,12.57
39,Hambantota,LK,2022-02-05 17:46:01,6.1241,81.1185,75.36,80,4,16.04
40,Havoysund,NO,2022-02-05 17:46:56,70.9963,24.6622,29.28,69,74,32.77
